,date,National Team,Rating
430,1937-02-13,Scotland,76.698591020371
431,1937-02-27,Scotland,75.82690306124191
432,1937-03-20,Scotland,75.4438598040836
433,1937-04-03,Scotland,75.4438598040836
434,1937-06-26,Scotland,75.4438598040836
435,1937-07-17,Scotland,75.4438598040836
436,1937-08-14,Scotland,75.4438598040836
437,1937-09-04,Scotland,75.4438598040836
438,1937-09-25,Scotland,75.4438598040836
439,1937-10-17,Scotland,75.4438598040836
440,1938-01-15,Scotland,75.4438598040836
441,1938-02-05,Scotland,76.86566524525836
442,1938-02-12,Scotland,76.86566524525836
443,1938-02-26,Scotland,78.03486916439323
444,1938-03-12,Scotland,78.03486916439323
445,1938-03-19,Scotland,79.46199032537453
446,1938-07-23,Scotland,79.46199032537453
447,1938-08-06,Scotland,79.46199032537453
448,1938-08-13,Scotland,79.46199032537453
449,1939-01-21,Scotland,79.46199032537453
450,1939-02-04,Scotland,78.34852620437374
451,1939-02-11,Scotland,78.34852620437374
452,1939-02-25,Scotland,77.31336868929148
453,1939-03-11,Scotland,77.31336868929148
454,1939-03-18,Scotland,76.60035869400589
455,1946-09-14,Scotland,76.60035869400589
456,1946-09-28,Scotland,76.60035869400589
457,1947-01-01,Scotland,75.71051418364158
458,1947-01-18,Scotland,75.71051418364158
459,1947-01-25,Scotland,75.71051418364158
460,1947-02-01,Scotland,75.0844204018581
461,1947-02-08,Scotland,75.0844204018581
462,1947-02-22,Scotland,74.50929087876972
463,1947-03-15,Scotland,73.77865378292522
464,1947-03-22,Scotland,73.77865378292522
465,1947-03-29,Scotland,73.77865378292522
466,1947-04-19,Scotland,73.77865378292522
467,1947-06-14,Scotland,73.77865378292522
468,1947-06-28,Scotland,73.77865378292522
469,1947-11-22,Scotland,73.07162547632377
470,1947-12-06,Scotland,73.07162547632377
471,1947-12-20,Scotland,73.07162547632377
472,1948-01-01,Scotland,73.07162547632377
473,1948-01-03,Scotland,73.07162547632377
474,1948-01-11,Scotland,73.07162547632377
475,1948-01-17,Scotland,73.07162547632377
476,1948-02-07,Scotland,72.99504508140836
477,1948-02-14,Scotland,72.99504508140836
478,1948-02-21,Scotland,74.6416689337896
479,1948-02-28,Scotland,74.17538395285673
480,1948-03-13,Scotland,74.17538395285673
481,1948-03-20,Scotland,75.65846722198482
482,1948-03-29,Scotland,75.65846722198482
483,1949-01-15,Scotland,76.97117121129199
484,1949-01-29,Scotland,76.97117121129199
485,1949-02-05,Scotland,78.33026737807637
486,1949-02-12,Scotland,78.33026737807637
487,1949-02-26,Scotland,77.56447954119126
488,1949-03-12,Scotland,77.56447954119126
489,1949-03-19,Scotland,75.92942479929356
490,1949-03-26,Scotland,75.92942479929356
491,1949-07-16,Scotland,75.92942479929356
492,1949-08-13,Scotland,75.92942479929356
493,1949-08-28,Scotland,75.92942479929356
494,1949-09-03,Scotland,75.92942479929356
495,1949-09-04,Scotland,75.92942479929356
496,1949-09-17,Scotland,75.92942479929356
497,1949-09-24,Scotland,75.92942479929356
498,1950-01-14,Scotland,77.4024290158819
499,1950-01-21,Scotland,77.4024290158819
500,1950-01-28,Scotland,77.4024290158819
501,1950-02-04,Scotland,76.50539292627388
502,1950-02-11,Scotland,76.50539292627388
503,1950-02-25,Scotland,75.59572513997705
504,1950-03-11,Scotland,75.59572513997705
505,1950-03-18,Scotland,76.81168084431798
506,1950-03-25,Scotland,76.81168084431798
507,1951-01-13,Scotland,76.02313838662467
508,1951-01-20,Scotland,76.02313838662467
509,1951-01-27,Scotland,76.02313838662467
510,1951-02-03,Scotland,78.52342498065607
511,1951-02-10,Scotland,78.52342498065607
512,1951-02-24,Scotland,77.8291441603992
513,1951-03-10,Scotland,77.8291441603992
514,1951-03-17,Scotland,76.51844446605568
515,1951-04-07,Scotland,76.51844446605568
516,1951-06-23,Scotland,76.51844446605568
517,1951-07-07,Scotland,76.51844446605568
518,1951-07-21,Scotland,76.51844446605568
519,1951-11-24,Scotland,76.8652561926037
520,1951-12-08,Scotland,76.8652561926037
521,1951-12-22,Scotland,76.8652561926037
522,1952-01-05,Scotland,76.8652561926037
523,1952-01-12,Scotland,76.23060297984794
524,1952-01-26,Scotland,76.23060297984794
525,1952-02-02,Scotland,75.21112768170053
526,1952-02-16,Scotland,75.21112768170053
527,1952-03-08,Scotland,75.21112768170053
528,1952-03-15,Scotland,73.78120098835431
529,1952-03-22,Scotland,73.78120098835431
530,1952-03-29,Scotland,73.78120098835431
531,1952-04-05,Scotland,73.78120098835431
532,1952-05-17,Scotland,73.78120098835431
533,1952-09-06,Scotland,73.78120098835431
534,1952-09-13,Scotland,73.78120098835431
535,1953-01-10,Scotland,73.30980794714988
536,1953-01-17,Scotland,73.30980794714988
537,1953-01-24,Scotland,73.30980794714988
538,1953-02-07,Scotland,73.1108941345013
539,1953-02-11,Scotland,73.1108941345013
540,1953-02-28,Scotland,72.82338571589268
541,1953-03-14,Scotland,72.82338571589268
542,1953-03-21,Scotland,72.65866497342502
543,1953-03-28,Scotland,72.65866497342502
544,1953-04-26,Scotland,72.65866497342502
545,1953-08-22,Scotland,72.65866497342502
546,1953-09-05,Scotland,72.65866497342502
547,1953-09-19,Scotland,72.65866497342502
548,1953-09-26,Scotland,72.65866497342502
549,1953-12-19,Scotland,72.65866497342502
550,1954-01-09,Scotland,72.2197915159986
551,1954-01-16,Scotland,72.2197915159986
552,1954-01-23,Scotland,72.2197915159986
553,1954-01-30,Scotland,72.2197915159986
554,1954-02-13,Scotland,72.32431522261096
555,1954-02-27,Scotland,71.87481561253165
556,1954-03-13,Scotland,71.87481561253165
